sample,group,age,gender,latitude,sampleID
SAMN16454142,NEG,Adult,Female,68,D24042
SAMN16454143,NEG,Adult,Male,68,D24080
SAMN16454144,SEG,Adult,Male,62,D24081
SAMN16454145,NEG,Adult,Female,68,D24082
SAMN16454146,NEG,Adult,Female,68,D24084
SAMN16454147,SEG,Adult,Female,62,D24010
SAMN16454148,SEG,Adult,Male,62,D24087
SAMN16454149,SEG,Adult,Female,61,D24090
SAMN16454150,SEG,Adult,Female,61,D24093
SAMN16454151,SEG,Adult,Male,61,D24051
SAMN16454152,SEG,Adult,Female,61,D24094
SAMN16454153,SEG,Adult,Female,62,D24095
SAMN16454154,SEG,Adult,Female,61,D24097
SAMN16454157,SEG,Adult,Female,62,D24102
SAMN16454158,NEG,Adult,Male,68,D24105
SAMN16454159,NEG,Adult,Female,68,D24106
SAMN16454160,NEG,Adult,Female,68,D24109
