sample	group	age	gender	latitude	sampleID	mean_temp_when_sampled_in_region_2016	mean_temp_year	when_bear_sampled_year	nearest_town
SAMN16454142	NEG	Adult	Female	68	D24042	-2	2016	2017	Ittoqqortoormiit
SAMN16454143	NEG	Adult	Male	68	D24080	-2	2016	2017	Ittoqqortoormiit
SAMN16454144	SEG	Adult	Male	62	D24081	-0.1	2016	2017	Ikermit
SAMN16454145	NEG	Adult	Female	68	D24082	-2	2016	2017	Ittoqqortoormiit
SAMN16454146	NEG	Adult	Female	68	D24084	-2	2016	2017	Ittoqqortoormiit
SAMN16454147	SEG	Adult	Female	62	D24010	-0.1	2016	2017	Ikermit
SAMN16454148	SEG	Adult	Male	62	D24087	-0.1	2016	2017	Ikermit
SAMN16454149	SEG	Adult	Female	61	D24090	2.6	2016	2017	Qaqortoq
SAMN16454150	SEG	Adult	Female	61	D24093	2.6	2016	2017	Qaqortoq
SAMN16454151	SEG	Adult	Male	61	D24051	2.6	2016	2017	Qaqortoq
SAMN16454152	SEG	Adult	Female	61	D24094	2.6	2016	2017	Qaqortoq
SAMN16454153	SEG	Adult	Female	62	D24095	-0.1	2016	2017	Ikermit
SAMN16454154	SEG	Adult	Female	61	D24097	2.6	2016	2017	Qaqortoq
SAMN16454157	SEG	Adult	Female	62	D24102	-0.1	2016	2017	Ikermit
SAMN16454158	NEG	Adult	Male	68	D24105	-2	2016	2017	Ittoqqortoormiit
SAMN16454159	NEG	Adult	Female	68	D24106	-2	2016	2017	Ittoqqortoormiit
SAMN16454160	NEG	Adult	Female	68	D24109	-2	2016	2017	Ittoqqortoormiit
